inv_id,inv_nama, inv_awal 
0000186,FLANK TUTUP 2, 32.00 
0000187,FLANK TUTUP 2 1/2, 8.00 
0000188,FLANK TUTUP 3, 14.00 
0000189,GAS DETECTOR MIC 12V, 183.00 
0000190,GAS DETECTOR ANDEREN, 101.00 
0000191,GAS DETECTOR SHINWO, 23.00 
0000192,GAS DETECTOR MILANO, 9.00 
0000193,Gas Leak Detector hijau(CD 100A),
0000194,GAS FILTER 1, 31.00 
0000195,GAS FILTER 1 1/4, 15.00 
0000196,GAS FILTER 1 1/2, 19.00 
0000197,GAS FILTER 2, 20.00 
0000198,"GAS FILTER MADAS 1"" FMC - DN25",
0000199,GAS METER LANDYS, 89.00 
0000200,GAS METER LANDYS + KALIBRASI,
0000201,HI COOK, 32.00 
0000202,INCIAN SAFETY RELIEF, 673.00 
0000203,INCIAN PRESSURE GAUGE 1/4, 48.00 
0000204,INCIAN VALVE 1/4," 1,105.00 "
0000205,ISOLASI UNIBELT, 497.00 
0000206,IN HOUSE,
0000207,PROJECT VENDOR LUAR,
0000208,"KABEL NYY HY FEDERAL 2 X 0,75", 62.50 
0000209,"KABEL FEDERAL NYMHY 4 X 0,75", 211.00 
0000210,"KABEL SUPREME NYM 2 X 2 X 0,6"," 1,443.30 "
0000211,"KABEL FEDERAL MONSTER 2 X 23/0,12", 85.00 
0000212,"KABEL SUPREME NYM 2 X 2,5", 435.00 
0000213,"KABEL SUPREME NYM 3 X 2,5", 415.00 
0000214,KABEL FEDERAL NYYHY FMC 300-500 rat,
0000215,KABEL FEDERAL INTERCOM/TELEPON, 308.00 
0000216,KABEL TIS 30 CM," 2,227.00 "
0000217,"KABEL SUPREME NYM 2 X 1,5 (PUTIH) ", 555.50 
0000218,"Kabel Federal NYMHY/NYYHY (HITAM) 4 X 0,75", 29.50 
0000219,"Kabel Federal NYMHY MULTIWARE(PUTIH) 0,75", 30.00 
0000220,Kabel Supreme NYM 2 X 0.75, 800.00 
0000221,"Kabel Supreme NYMHY(PUTIH) 2 X 0,75",
0000222,"Kabel Federal NYYHY (HITAM) 2 X 0,75", 200.00 
0000223,"Kabel Federal NYY / NYM 4 X 0,75", 61.00 
0000224,"Kabel Supreme NYM 4 X 0,75", 200.00 
0000225,"Kabel Supreme NYM 4 X1,5", 166.50 
0000226,"Kabel Federal NYY HY(PUTIH) 2 X 0,75",
0000227,"KABEL FEDERAL NYM/NYY 2 X 0,75",
0000228,KABEL NYA 1 X1.5 MERAH, 117.00 
0000229,KABEL TIES 55CM,
0000230,KABEL NYA 1 X1.5 HITAM, 113.00 
0000231,KABEL TIS 30 CM ( DUS ),
0000232,KNEE BS 1/2,
0000233,KNEE BS 3/4,
0000234,KNEE BS 1,
0000235,KNEE BS 1 1/4,
0000236,KNEE BS 1 1/2,
0000237,KNEE BS 2,
0000238,KNEE BS 2 1/2,
0000239,KLEM CLIPSAL 1/2," 3,068.00 "
0000240,KNEE CLIPSAL 1/2," 1,095.00 "
0000241,KACA LAS HITAM NO.11, 66.00 
0000242,KACA LAS PUTIH NO.11, 6.00 
0000243,KACA LAS HITAM NO.10, 11.00 
0000244,KARET FLANK 1/2, 72.00 
0000245,KARET FLANK 3/4, 48.00 
0000246,KARET FLANK 1, 68.00 
0000247,KARET FLANK 1 1/4, 46.00 
0000248,KARET FLANK 1 1/2, 75.00 
0000249,KARET FLANK 2, 56.00 
0000250,KARET FLANK 2 1/2, 36.00 
0000251,KARET FLANK 3, 55.00 
0000252,KAWAT LAS RB-26," 2,600.00 "
0000253,"KAWAT LAS LB-52 UK 2,6MM", 931.00 
0000254,"KAWAT LAS LB-52 UK.3,2", 235.00 
0000255,KAWAT LAS STEINLEES, 53.00 
0000256,KAWAT LAS RD 2 MM,
0000257,"KAWAT LAS LB-52 UK 2,6MM ( DUS )",
0000258,KACAMATA GERINDA PUTIH, 5.00 
0000259,KACAMATA GERINDA HITAM, 9.00 
0000260,"KNEE RIFENG UK.1""",
0000261,KLEM SELANG 3/8 X 5/8,
0000262,KLEM SELANG 7/8," 3,237.00 "
0000263,KLEM SELANG 10 - 16, 222.00 
0000264,KLEM SELANG NO.2 38 - 57, 8.00 
0000265,KLEM SELANG 2A NO.24 32 - 51, 10.00 
0000266,KLEM SELANG NO.36 46 - 74, 5.00 
0000267,KLEM SELANG 3x NO.40 57 - 76, 5.00 
0000268,KLEM SELANG 2 1/2 X 3,
0000269,KLEM SELANG 1 X 32-44, 5.00 
0000270,KLEM SELANG N0.2A 35-51, 7.00 
0000271,KLEM SEALNG NO.3 51-70, 7.00 
0000272,KLEM SELANG N0.4X, 3.00 
0000273,KLEM SELANG No.2 38-57, 7.00 
0000274,KLEM SELANG 1 13/16-23 1/4,
0000275,KLEM SELANG No.3x 64-76, 12.00 
0000276,KNEE SS 1/4, 105.00 
0000277,KNEE SS 1/2, 78.00 
0000278,KNEE SS 3/4, 97.00 
0000279,KNEE SS 1, 129.00 
0000280,KNEE SS 1 1/4, 39.00 
0000281,KNEE SS 1 1/2, 68.00 
0000282,KNEE SS 2, 71.00 
0000283,KNEE SS 2 1/2, 28.00 
0000284,KNEE TEMBAGA 1/2, 6.00 
0000285,"KUAS 2""", 81.00 
0000286,"KUAS 4""", 29.00 
0000287,"KUAS 1""",
0000288,KNEE PVC 2, 53.00 
0000289,KNEE PVC 1', 12.00 
0000290,LEM EPOXY 1/4, 56.00 
0000291,LEM EPOXY HERNERO (LAMA),
0000292,LEM EPOXY HARDENER (LAMA) , 3.00 
0000293,LEM EPOXY FILER, 5.00 
0000294,SILICONE SEALANT,
0000295,LEM EPOXY,
0000296,LEM EPOXY B.POX, 2.00 
0000297,MASKER LAS, 38.00 
0000298,MANIFOLD 3, 829.00 
0000299,MANIFOLD 4, 558.00 
0000300,MANIFOLD 2, 39.00 
0000301,MANIFOLD 6, 6.00 
0000302,MANIFOLD 5, 168.00 
0000303,"MATA GERINDA TIPIS 4"""," 1,227.00 "
0000304,"MATA GERINDA TEBAL 4""", 183.00 
0000305,"MATA GERINDA 14""", 60.00 
0000306,MATA GERINDA BOSCH, 1.00 
0000307,MATA GERINDA LAKONI,
0000308,"MATA GERINDA TIPIS 7""",
0000309,MATA GERINDA 6,
0000310,MATA SNAI AT.1/2-3/4 89211, 3.00 
0000311,MATA SNAI (CUTTER WHEEL) 70076, 3.00 
0000312,MATA SNAI 89227 AT.1-1 1/2(2), 2.00 
0000313,BLADE SNAI, 10.00 
0000314,NITROGEN,
0000315,NEPLE SELANG BS 1/4, 37.00 
0000316,NEPLE SELANG KUNINGAN 1/2 STD, 104.00 
0000317,NEPLE SELANG KUNINGAN 3/4, 11.00 
0000318,NEPLE SELANG KUNINGAN KAKI 3,
0000319,NEPLE SELANG KUNINGAN 5/8,
0000320,NEPLE SELANG KUNINGAN 3/4 X3/4, 49.00 
0000321,NEPLE SELANG KUNINGAN 1/2 X 1/2, 81.00 
0000322,NEPLE SELANG KUNINGAN 1/4, 27.00 
0000323,"NEPLE SELANG 3 KAKI KUNINGAN UK. 3/8""", 70.00 
0000324,"NEPLE SELANG KUNINGAN UK. 3/8""", 113.00 
0000325,PANEL BOX ALARM, 1.00 
0000326,PANEL ALARM 2 ZONE LUAR NEGERI, 2.00 
0000327,PANEL ALARM 2 ZONE 1 SILINOID, 1.00 
0000328,PANEL ALARM 3 ZONE 1 SILINOID, 1.00 
0000329,PANEL ALARM 5 ZONE 1 SILINOID, 5.00 
0000330,PANEL ALARM 4 ZONE 2 SILINOID, 1.00 
0000331,PANEL ALARM 4 ZONE 1 SILINOID, 5.00 
0000332,PANEL ALARM 4 ZONE LUAR NEGERI, 11.00 
0000333,PANEL ALARM 9 Z 1 S, 1.00 
0000334,PANEL ALARM 5 ZONE 2 SILINOID, 6.00 
0000335,PANEL ALARM 3 ZONE 1 SILINOID + DRY CONTAC, 5.00 
0000336,PANEL ALARM 6 ZONE 1 SILINOID, 9.00 
0000337,PANEL ALARM 10 ZONE 1 SILINOID, 1.00 
0000338,PANEL ALARM 4 ZONE 1 SILINOID + DRY CONTAC, 3.00 
0000339,PANEL ALARM 7 ZONE 1 SILINOID, 3.00 
0000340,PANEL ALARM 5 ZONE 1 SILINOID + DRY CONTAC, 3.00 
0000341,PANEL ALARM 6 ZONE 1 SILINOID + DRY CONTAC, 3.00 
0000342,PANEL ALARM 6 ZONE 2 SILINOID, 5.00 
0000343,PANEL ALARM 7 ZONE 2 SILINOID, 5.00 
0000344,PANEL ALARM 8 ZONE 1 SILINOID,
0000345,PANEL ALARM 2 ZONE 1 SILINOID + DRY CONTACT + TOMBOL RESET,
